2025/02/17 12:55:06.000   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/02/19 13:46:26.796   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 11:33:17.971   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 11:33:39.571   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 11:36:30.245   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 11:37:32.231   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 11:38:17.688   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 11:39:00.608   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 11:40:19.531   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 12:15:03.546   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 12:20:40.504   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 12:29:24.321   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 12:32:46.190   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 12:35:24.986   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 12:35:54.876   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 12:37:04.242   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 12:39:15.564   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 12:40:37.224   INFO [Astrolabe.server] reading from stdin, writing to stdout
2025/05/31 12:47:04.964   INFO [Astrolabe.server] reading from stdin, writing to stdout
